subId,P(roi),P(dom),P(roi|dominant),P(dom|roi),P(dom|child inhand),P(dom|parent inhand),P(roi|dom&child inhand),P(roi|dom&parent inhand),P(roi|dom&not inhand),P(dom&not inhand)
1201,0.758469724523473,0.482589075234054,0.601116538729937,0.382470473314981,0.382807469414037,0.223825259933908,0.855060274740678,0.764494058336334,0.0998013902681231,0.13565029972385
1202,0.726304903272904,0.661455164861905,0.440540789110641,0.401206131166764,0.498929336188437,0.213988750305698,0.588278821962409,0.613714285714286,0.148356279853892,0.216510524394695
1203,0.71275347745936,0.402006985640628,0.492759619362847,0.280037620503174,0.180372044506259,0.266473616473616,0.739759036144578,0.598889157208404,0.0491698595146871,0.0874811463046757
1204,0.484874187164264,0.363302233531241,0.291828793774319,0.21865889212828,0.117987275882013,0.274893617021277,0.478758169934641,0.325077399380805,0.187901008249313,0.154226745829799
1205,0.777603542108662,0.615072410294253,0.4500599880024,0.355990510083037,0.213620643788242,0.276957494407159,0.61519302615193,0.687129779213786,0.26917633739032,0.32589244534637
1206,0.868447865957206,0.524057511604211,0.623028731907539,0.375961413114327,0.219154228855721,0.324959836424712,0.913734392735528,0.826067415730337,0.123762376237624,0.160081512509906
1207,0.72294046031654,0.662357238100759,0.585207877461707,0.53616680032077,0.503052503052503,0.126920674578389,0.667128987517337,0.816929133858268,0.10833775889538,0.109165748739057
1208,0.75673446948873,0.555318856514568,0.439054572453904,0.322193970214312,0.25227155204255,0.221973684210526,0.695168374816984,0.701244813278008,0.150948509485095,0.253573391973612
1209,0.790318118948824,0.644260027662517,0.641691713181623,0.523101155057753,0.19432918395574,0.314523589269195,0.787900355871886,0.644607843137255,0.513085818624467,0.227247579529737
1210,0.808351457155285,0.359460635058721,0.48620522749274,0.216207490314249,0.180442374854482,0.0857461024498886,0.765982404692082,0.776334776334776,0.148226574907358,0.164332318399304
1211,0.793933681775341,0.49700111387199,0.239462115334885,0.299805741420246,0.307992746547636,0.321280662631411,0.74320652173913,0.722359940505702,0.0404286410131515,0.175906092022963
1212,0.831408520749295,0.628999281648892,0.528156022138276,0.399574637777482,0.35063122923588,0.279029887310142,0.85370475649043,0.836259877085162,0.103220478943022,0.267668674365917
1213,0.617902471609886,0.415879377803225,0.398921523634695,0.268494208494209,0.151329341317365,0.158238331871772,0.57866413421969,0.729679802955665,0.172930542340628,0.200591659509495
1214,0.788776421554034,0.607174754391188,0.320421671978426,0.246650311379506,0.294996385832463,0.11491504090623,0.536346310917506,0.8039430449069,0.0747524752475247,0.300684727597499
