#,,base:cevent_vision_dom-child-inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,416.63,417.43,3,2,41,0.33333,0.41667,0.26667,0.16667,75,150,0.12496,0,0.099967,0,75,0,0.1467,0.04048,0.14835,0.040549
1201,12,417.93,418.43,3,2,42,0,1,0,0.5,0,120,0.26673,0.53327,0.13337,0.26663,120,120,0.08995,0.033219,0.086403,0.033337
1201,12,420.37,421.33,3,2,43,1,0,0.9666,0,62.073,0,0.2414,0,0.23333,0,62.073,0,0.17076,0.041243,0.17895,0.042925
1201,12,421.63,421.67,3,2,44,1,0,0.0333,0,1801.8,0,0,0,0,0,0,0,0.098063,0.044455,0.098063,0.044455
1201,12,422.53,422.57,3,2,45,1,0,0.0333,0,1801.8,0,0,0,0,0,0,0,0.08431,0.035938,0.08431,0.035938
1201,12,422.63,422.67,3,2,46,1,0,0.0333,0,1801.8,0,0,0,0,0,0,0,0.081016,0.035181,0.081016,0.035181
1201,12,422.93,423.1,3,2,47,1,0,0.1667,0,359.93,0,0,0,0,0,0,0,0.086536,0.037631,0.087891,0.039799
1201,12,423.37,423.47,3,2,48,1,0,0.0999,0,600.6,0,0,0,0,0,0,0,0.091304,0.038226,0.091304,0.038226
1201,12,423.7,424.6,3,2,49,1,0,0.9,0,66.667,0,0,0.62963,0,0.28333,0,133.33,0.084616,0.030445,0.085371,0.030109
1201,12,425.17,425.27,3,2,50,0.667,0,0.066633,0,600.6,0,0,1,0,0.0999,0,600.6,0.093411,0.033446,0.093411,0.033446
1201,12,437.6,437.67,5,2,51,1,0,0.0666,0,900.9,0,0,1,0,0.0666,0,900.9,0.11266,0.048038,0.11266,0.048038
1201,12,446.5,446.7,13,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0.1054,0.06055,0.10427,0.065422
1201,12,446.77,446.87,13,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0.12902,0.047806,0.12902,0.047806
1201,12,449.73,450.4,16,2,54,0.15004,0,0.10003,0,89.996,0,0,0.40003,0,0.2667,0,89.996,0.27002,0.047489,0.30126,0.049041
1201,12,453.3,453.37,16,2,55,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.12567,0.03204,0.12567,0.03204
1201,12,456.4,456.47,8,2,56,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.11655,0.064496,0.11655,0.064496
1201,12,457.4,457.57,8,2,57,1,0,0.1666,0,360.14,0,0,0,0,0,0,0,0.22572,0.032279,0.22174,0.032447
1201,12,464.43,464.7,8,2,58,1,0,0.2667,0,224.97,0,0,0,0,0,0,0,0.18452,0.039359,0.18326,0.0388
1201,12,465.3,465.37,8,2,59,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.1331,0.03914,0.1331,0.03914
1201,12,466.07,466.13,8,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0.17974,0.040755,0.17974,0.040755
1201,12,466.57,467.33,8,2,61,0.95656,0,0.7333,0,78.268,0,0,0,0,0,0,0,0.24069,0.040403,0.23007,0.039932
1201,12,479.13,479.77,14,2,62,1,0,0.6333,0,94.742,0,0,0.8422,0,0.53337,0,94.742,0.21944,0.040847,0.20904,0.040796
1201,12,480,480.03,14,2,63,1,0,0.0333,0,1801.8,0,0,1,0,0.0333,0,1801.8,0.10368,0.049105,0.10368,0.049105
1201,12,480.4,481.4,14,2,64,1,0,1,0,60,0,0,0.9,0,0.45,0,120,0.17374,0.049347,0.17702,0.046661
1201,12,482.17,482.67,14,2,65,1,0,0.4999,0,120.02,0,0,1,0,0.4999,0,120.02,0.16023,0.059498,0.16521,0.059751
1201,12,482.93,483.03,8,2,66,0,1,0,0.1,0,600,0,1,0,0.1,0,600,0.10697,0.050527,0.10599,0.04873
1201,12,483.27,484.9,14,2,67,1,0,1.6333,0,36.735,0,0,1,0,1.6333,0,36.735,0.20446,0.061734,0.20602,0.061754
1201,12,484.9,485,8,2,68,0,1,0,0.1,0,600,0,1,0,0.1,0,600,0.18109,0.063657,0.19171,0.063764
1201,12,485.47,485.5,8,2,69,0,1,0,0.0333,0,1801.8,0,1,0,0.0333,0,1801.8,0,0,0,0
1201,12,485.57,486.7,14,2,70,0.35292,0,0.39997,0,52.943,0,0,1,0,1.1333,0,52.943,0.18093,0.042086,0.19019,0.037817
1201,12,493.7,496.03,10,2,71,1,0,2.3333,0,25.715,0,0,0.97143,0,1.1333,0,51.429,0.17635,0.038494,0.16907,0.038367
1201,12,496.23,496.5,10,2,72,1,0,0.2667,0,224.97,0,0,1,0,0.2667,0,224.97,0.11764,0.041309,0.12521,0.041097
1201,12,496.7,499.4,10,2,73,1,0,2.7,0,22.222,0,0,1,0,2.7,0,22.222,0.15042,0.038063,0.15261,0.037989
