#,,base:cevent_eye_joint-attend_both,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,,cont_vision_size_obj#_parent,,,,cevent_inhand_child,,,,,,cevent_inhand_parent,,,,,,cevent_eye_joint-attend_both,,,,,,cevent_eye_joint-attend_child-lead-moment_both,,,,,,cevent_eye_joint-attend_parent-lead-moment_both,,,,,,cstream_vision_largest-obj_child,,,,,,cstream_vision_largest-obj_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,,individual_mean,,individual_median,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,109.34,111.97,19,1,12,0.99873,0,2.6267,0,22.814,0,1,0,2.63,0,22.814,0,0.047487,0.10451,0.045703,0.075141,0,0,0,0,0.03929,0,0.10333,0,22.814,0,0.79721,0,1.0483,0,45.627,0,1,0,2.63,0,22.814,0,0,0,0,0,0,0,1,0,2.63,0,22.814,0,0,1.0013,0,0.52667,0,114.07,0,0,0,0,0,0
1201,12,119.34,123.47,3,1,13,0.99919,0,4.1267,0,14.528,0,1,0,4.13,0,14.528,0,0.097024,0.047751,0.094297,0.04389,0,0,0,0,0,0.98144,0,2.0267,0,29.056,1,0,4.13,0,14.528,0,1,0,4.13,0,14.528,0,0,0,0,0,0,0,1,0,4.13,0,14.528,0,0.44391,0.5569,0.30556,0.13529,87.167,246.97,0,0,0,0,0,0
1201,12,157.9,158.57,17,1,14,1,0,0.67,0,89.552,0,0.99502,0,0.66667,0,89.552,0,0.046738,0.050794,0.044922,0.05011,0,0,0,0,1,0,0.67,0,89.552,0,0,1,0,0.67,0,89.552,1,0,0.67,0,89.552,0,1,0,0.67,0,89.552,0,0,0,0,0,0,0,0,1.0448,0,0.35,0,179.1,0,0,0,0,0,0
1201,12,161.44,171.24,17,1,15,1,0,9.8,0,6.1224,0,0.99932,0,9.7933,0,6.1224,0,0.20269,0.031248,0.19266,0.030204,0,0,0,0,1.551,0,3.8,0,24.49,0,1.1156,0.27415,3.6444,1.3433,18.367,12.245,1,0,9.8,0,6.1224,0,1,0,9.8,0,6.1224,0,0,0,0,0,0,0,1,0,9.8,0,6.1224,0,0,0,0,0,0,0
1201,12,177.04,185.1,17,1,16,1,0,8.06,0,7.4442,0,0.9421,0,3.7967,0,14.888,0,0.2005,0.033696,0.18169,0.033535,0,0,0,0,1.6857,0,4.5289,0,22.333,0,1.2903,0,5.2,0,14.888,0,1,0,8.06,0,7.4442,0,1,0,8.06,0,7.4442,0,0,0,0,0,0,0,0.72374,0.27295,0.97222,0.12941,44.665,126.55,0,0,0,0,0,0
1201,12,199.2,203.8,17,1,17,1,0,4.6,0,13.043,0,1,0,4.6,0,13.043,0,0.10501,0.031085,0.10285,0.029921,0,0,0,0,0.50725,0,1.1667,0,26.087,0,2,0,4.6,0,26.087,0,1,0,4.6,0,13.043,0,0,0,0,0,0,0,1,0,4.6,0,13.043,0,0.84058,0.15942,1.9333,0.12222,26.087,78.261,0,0,0,0,0,0
1201,12,214.87,217.5,17,1,18,1,0,2.63,0,22.814,0,0.64512,0.30418,0.84833,0.8,45.627,22.814,0.03043,0.055127,0.03043,0.050766,0,0,0,0,1.7719,0,1.5533,0,68.441,0,0,0,0,0,0,0,1,0,2.63,0,22.814,0,1,0,2.63,0,22.814,0,0,0,0,0,0,0,0,0.98859,0,0.37143,0,159.7,0,0,0,0,0,0
1201,12,222.87,224.57,17,1,19,1,0,1.7,0,35.294,0,0.99804,0,1.6967,0,35.294,0,0,0.042835,0,0.038567,0,0,0,0,2,0,1.7,0,70.588,0,0,0,0,0,0,0,1,0,1.7,0,35.294,0,1,0,1.7,0,35.294,0,0,0,0,0,0,0,0,1,0,0.425,0,141.18,0,0,0,0,0,0
1201,12,229.24,243.6,17,1,20,0.95822,0,6.88,0,8.3565,0,1,0,14.36,0,4.1783,0,0.13373,0.040216,0.11473,0.03913,0,0,0,0,0.7493,0,2.69,0,16.713,0,1.4294,0.41736,6.8422,5.9933,12.535,4.1783,1,0,14.36,0,4.1783,0,1,0,14.36,0,4.1783,0,0,0,0,0,0,0,0.77762,0.22052,1.2407,0.24359,37.604,54.318,0,0,0,0,0,0
1201,12,248.44,251.84,17,1,21,0.99804,0,3.3933,0,17.647,0,1,0,3.4,0,17.647,0,0.076179,0.043224,0.074598,0.038179,0,0,0,0,0,0,0,0,0,0,2,0,3.4,0,35.294,0,1,0,3.4,0,17.647,0,0,0,0,0,0,0,1,0,3.4,0,17.647,0,0.42157,0.57843,0.20476,0.32778,123.53,105.88,0,0,0,0,0,0
