#,,base:cevent_vision_dom-joint-inhand_child,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,,cont_vision_size_obj#_child,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,,individual_mean,,individual_median,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1201,12,404.67,404.73,15,2,41,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.25967,0.071022,0.25967,0.071022
1201,12,405.17,405.23,15,2,42,1,0,0.0666,0,900.9,0,0,0,0,0,0,0,0.25292,0.063611,0.25292,0.063611
1201,12,414.3,415.23,3,2,43,1,0,0.9333,0,64.288,0,0.17858,0.21426,0.16667,0.19997,64.288,64.288,0.12359,0.037109,0.12968,0.038348
1201,12,415.27,415.5,3,2,44,1,0,0.2333,0,257.18,0,0,0.14273,0,0.0333,0,257.18,0.11387,0.034604,0.11531,0.034706
1201,12,415.9,416.63,3,2,45,0.40911,0.49998,0.3,0.36663,81.822,81.822,0,0,0,0,0,0,0.1564,0.043431,0.14302,0.043305
1201,12,453.77,453.87,16,2,46,1,0,0.0999,0,600.6,0,0,0,0,0,0,0,0.16563,0.035704,0.16563,0.035704
1201,12,453.93,454.3,16,2,47,1,0,0.3667,0,163.62,0,0,0,0,0,0,0,0.16213,0.036065,0.15482,0.035819
1201,12,461.13,461.77,8,2,48,1,0,0.6333,0,94.742,0,0,0,0,0,0,0,0.17509,0.02429,0.18012,0.02429
1201,12,462.57,462.67,8,2,49,1,0,0.0999,0,600.6,0,1,0,0.0999,0,600.6,0,0.11754,0.025211,0.11754,0.025211
1201,12,463.63,464.43,8,2,50,1,0,0.8,0,75,0,0,0,0,0,0,0,0.12283,0.037898,0.11989,0.038109
1201,12,478.23,478.53,14,2,51,1,0,0.3,0,200,0,1,0,0.3,0,200,0,0.13735,0.041611,0.14052,0.042833
